,id,name,当日_confirm,当日_dead,当日_heal,当日_input,当日_severe,当日_storeConfirm,当日_suspect,累计_confirm,累计_dead,累计_heal,累计_input,累计_severe,累计_suspect
48,83356,泽西岛,,,,,,,,313,15,292,0.0,0,0
49,954467,叙利亚,,,,,0.0,,0.0,177,6,74,,0,0
50,95327,巴拿马,1301.0,16.0,869.0,,,,,45633,909,23039,0.0,0,0
51,95329,古巴,6.0,0.0,4.0,,,,,2426,87,2258,0.0,0,0
52,9511111,尼日利亚,571.0,16.0,344.0,,,,,32558,740,13447,0.0,0,0
53,95858585,摩洛哥,110.0,3.0,71.0,,,,,15745,250,12283,0.0,0,0
54,9500222,塞内加尔,121.0,0.0,0.0,,,,,8135,148,5446,0.0,0,0
55,95118,老挝,,,,,,,,19,0,19,,0,0
56,95350,巴哈马,3.0,0.0,0.0,,,,,111,11,89,0.0,0,0
57,84226,马约特岛,,,,,,,,2282,28,1790,0.0,0,0
58,954444,斯洛文尼亚,14.0,0.0,0.0,,,,,1841,111,1469,0.0,0,0
59,95103,卢森堡,83.0,1.0,0.0,,,,,4925,111,4086,0.0,0,0
60,95106,爱尔兰,17.0,0.0,0.0,,,,,25628,1746,23364,0.0,0,0
61,95102,厄瓜多尔,661.0,16.0,176.0,,,,,67870,5047,30283,0.0,0,0
62,957777,捷克,59.0,0.0,20.0,,,,,13174,352,8247,0.0,0,0
63,9522222,匈牙利,5.0,0.0,0.0,,,,,4234,595,3036,0.0,0,0
64,8101,法属圭亚那,0.0,0.0,0.0,0.0,0.0,,0.0,1255,3,534,0.0,0,0
65,8102,多哥共和国,,,,,,,,530,13,291,0.0,0,0
66,8100,哥斯达黎加,365.0,2.0,19.0,,,,,7596,30,2239,0.0,0,0
67,8105,文莱,0.0,0.0,0.0,,,,,141,3,138,0.0,0,0
68,8103,法罗群岛,,,,,,,,187,0,187,0.0,0,0
69,8104,马提尼克岛,5.0,0.0,0.0,,,,,37,1,0,0.0,0,0
